システム監査を実施することになり監査チームを編成した。チームに参画する全ての監査人に対して、共通して求められる要件はどれか,監査対象からの独立性,艦さ対象システムの詳細な技術知識,監査対象となっている業務の実務経験,監査対象部署の問題点に対する改善能力,0,1
コンピュータウイルスを作成する行為を処罰の対象とする法律はどれか。,刑法,不正アクセス禁止法,不正競争防止法,プロバイダ責任制限法,0,2
個人情報保護委員会”個人情報の保護に関する法律についてのガイドライン（通則編）平成２８年１１月（平成２９年３月一部改正）”によれば、個人情報に該当しないものはどれか。,受付に設置した監視カメラに録画された、本人が判別できる映像データ,個人番号の記載がない、社員に交付する源泉徴収票,指紋認証のための指紋データのバックアップデータ,匿名加工情報に加工された利用者アンケート情報,3,2
請負契約を締結していても、労働者派遣とみなされる受諾者の行為はどれか,休暇取得の承認を受注者側の指示に従って行う,業務の遂行に関する指導や評価を自ら実施する,勤務に関する規律や職場秩序の保持を実施する,発注者の業務上の要請を受託者側の責任者が窓口なって受け付ける,0,2
表探索におけるハッシュ法の特徴はどれか,２分木を用いる方法の一種である,格納場所の衝突が発生しない方法である,キーの関数値によって格納場所を決める,探索に要する時間は表全体の大きさにはほぼ比例する,2,2
XML文書のDTDに記述するものはどれか,使用する文字コード,データ,バージョン情報,文書型の定義,3,2
内部割込みに分類されるものはどれか,商用電源の瞬時停電などの電源異常による割込み,ゼロで除算を実行したことによる割込み,入出力が完了したことによる割込み,メモリパリティエラーが発生したことによる割込み,1,2
キャッシュメモリに関する記述のうち、適切なものはどれか,キャッシュメモリにヒットしない場合に割込みが生じ、プログラムによって主記憶からキャッシュメモリにデータが転送される,キャッシュメモリは、実記憶と仮想記憶とのメモリ容量の差を埋めるために採用される,データ書込み命令を実施したときに、キャッシュメモリと主記憶の両方を書き換える方式と、キャッシュメモリから該当データが追い出されるときに行う方式とがある,半導体メモリのアクセス速度の向上が著しいので、キャッシュメモリの必要性は減っている,2,2
SDメモリカードの上位規格の一つであるSDXCの特徴として、適切なものはどれか,GPS、カメラ、無線LANアダプタなどの周辺機能をハードウェアとしてカードに搭載している,SDメモリカードの４分の１以下の小型サイズで、最大３２Gバイトの容量を持つ,著作権保護技術としてAACSを採用し、従来のSDメモリカードよりもセキュリティが強化された,ファイルシステムにexFATを採用し、最大２Tバイトの容量に対応できる,3,2
フォールトトレラントシステムを実現する上で不可欠なものはどれか,システム構成に冗長性をもたせ、部品が故障してもその影響を最小限に抑えることによって、システム全体には影響を与えずに処理が続けられるようにする,システムに障害が発生した時の原因究明や復旧のために、システム稼働中のデータベースの変更情報などの履歴を自動的に記録する,障害が発生した場合、速やかに予備の環境に障害前の状態を復旧できるように、定期的にデータをバックアップする,操作ミスが発生しにくい容易な操作にするか、操作ミスが発生しても致命的な誤りにならないように設計する,0,2
次の説明に最もあてはまる語句を選択せよ。「現用系のコンピュータが故障したときは、休止させていた待機系システムを動作させ、処理を続行するシステム」,コールドスタンバイシステム,ホットスタンバイシステム,マルチプロセッサシステム,マルチユーザシステム,0,2
次の説明に最もあてはまる語句を選択せよ。「現用系のコンピュータに障害が発生した場合、常時起動されている待機系のコンピュータに即座に処理を引き継げるように設定されたシステム」,コールドスタンバイシステム,ホットスタンバイシステム,マルチプロセッサシステム,マルチユーザシステム,1,2
次の説明に最もあてはまる語句を選択せよ。「複数のCPUが搭載されているシステムで、処理を複数のCPUに分散することで、並列処理を行い、処理速度を向上させることができる」,コールドスタンバイシステム,ホットスタンバイシステム,マルチプロセッサシステム,マルチユーザシステム,2,2
次の説明に最もあてはまる語句を選択せよ。「１台のコンピュータで、同時に複数ユーザが使用可能なOSやソフトウェアを搭載したシステム」,コールドスタンバイシステム,ホットスタンバイシステム,マルチプロセッサシステム,マルチユーザシステム,3,2
システムのスケールアウトに関する記述として、適切なものはどれか,既存のシステムにサーバを追加導入することによって、システム全体の処理能力を向上させる,既存のシステムのサーバの一部または全部を、クラウドサービスなどに再配置することによって、システム運用コストを下げる,既存のシステムのサーバを、より高性能なものと入れ替えることによって、個々のサーバの処理能力を向上させる,１つのサーバをあたかも複数のサーバであるかのように見せることによって、システム運用コストを下げる,0,2
クラウドコンピューティングに関する記述として適切なものはどれか,既存のシステムにサーバを追加導入することによって、システム全体の処理能力を向上させる,既存のシステムのサーバの一部または全部を、クラウドサービスなどに再配置することによって、システム運用コストを下げる,既存のシステムのサーバを、より高性能なものと入れ替えることによって、個々のサーバの処理能力を向上させる,１つのサーバをあたかも複数のサーバであるかのように見せることによって、システム運用コストを下げる,1,2
スケールアップに関する記述として適切なものはどれか,既存のシステムにサーバを追加導入することによって、システム全体の処理能力を向上させる,既存のシステムのサーバの一部または全部を、クラウドサービスなどに再配置することによって、システム運用コストを下げる,既存のシステムのサーバを、より高性能なものと入れ替えることによって、個々のサーバの処理能力を向上させる,１つのサーバをあたかも複数のサーバであるかのように見せることによって、システム運用コストを下げる,2,2
サーバの仮想化に関する記述として適切なものはどれか,既存のシステムにサーバを追加導入することによって、システム全体の処理能力を向上させる,既存のシステムのサーバの一部または全部を、クラウドサービスなどに再配置することによって、システム運用コストを下げる,既存のシステムのサーバを、より高性能なものと入れ替えることによって、個々のサーバの処理能力を向上させる,１つのサーバをあたかも複数のサーバであるかのように見せることによって、システム運用コストを下げる,3,2
ファイルシステムの絶対パス名を説明したものはどれか,あるディレクトリから対象ファイルに至るい幾つかのパス名のうち、最短のパス名,カレントディレクトリから対象ファイルに至るパス名,ホームディレクトリから対象ファイルに至るパス名,ルートディレクトリかｒあ対象ファイルに至るパス名,3,2
コンパイラによる最適化の主な目的はどれか,プログラムの実行時間を短縮する,プログラムのデバックを容易にする,プログラムの保守性を改善する,目的プログラムを生成する時間を短縮する,0,2
ソフトウェアの統合開発環境として提供されているOSSはどれか,Apache Tomcat,Eclipse,GCC,Linux,1,2
多数のサーバで構成された大規模な分散ファイルシステム機能を提供し、MapReduceによる大規模データの分散処理を実現するOSSはどれか,Apache Hadoop,Apache Kafka,Apache Spark,Apache Storm,0,2
アクチュエータの説明として適切なものはどれか,与えられた目標量と、センサから得られた制御量を比較し、制御量を目標量に一致させるように操作量を出力する,位置、角度、速度、加速度、力、温度などを検出し、電気的な情報に変換する,エネルギー発生源からのパワーを、制御信号に基づき、回転、並進などの動きに変換する,マイクロフォン、センサなどが出力する微小な電気信号を増幅する,2,2
フラッシュメモリに関する記述として適切なものはどれか,高速に書換えができ、CPUのキャッシュメモリに用いられる,紫外線で全データを一括消去できる,周期的にデータの再書き込みが必要である,ブロック単位で電気的にデータの消去ができる,3,2
SRAMに関する記述として適切なものはどれか,高速に書換えができ、CPUのキャッシュメモリに用いられる,紫外線で全データを一括消去できる,周期的にデータの再書き込みが必要である,ブロック単位で電気的にデータの消去ができる,0,2
EPROMに関する記述として適切なものはどれか,高速に書換えができ、CPUのキャッシュメモリに用いられる,紫外線で全データを一括消去できる,周期的にデータの再書き込みが必要である,ブロック単位で電気的にデータの消去ができる,1,2
DRAMに関する記述として、適切なものはどれか,高速に書換えができ、CPUのキャッシュメモリに用いられる,紫外線で全データを一括消去できる,周期的にデータの再書き込みが必要である,ブロック単位で電気的にデータの消去ができる,2,2
シーケンスチェックに関する記述として適切なものはどれか,キー順にデータが並んでいるか、データに抜けが無いかをチェックする,同一データが重複して入力されていないかチェックする,データが決まった書式で入力されているかをチェックする,データ形式が論理的に正しいかをチェックする,0,2
重複チェックに関する記述として適切なものはどれか,キー順にデータが並んでいるか、データに抜けが無いかをチェックする,同一データが重複して入力されていないかチェックする,データが決まった書式で入力されているかをチェックする,データ形式が論理的に正しいかをチェックする,1,2
フォーマットチェックに関する記述として適切なものはどれか,キー順にデータが並んでいるか、データに抜けが無いかをチェックする,同一データが重複して入力されていないかチェックする,データが決まった書式で入力されているかをチェックする,データ形式が論理的に正しいかをチェックする,2,2
論理チェックに関する記述として適切なものはどれか,キー順にデータが並んでいるか、データに抜けが無いかをチェックする,同一データが重複して入力されていないかチェックする,データが決まった書式で入力されているかをチェックする,データ形式が論理的に正しいかをチェックする,3,2
H.２６４/MPEG-4 AVCに関する記述はどれか,インターネットで動画や音声データのストリーミング配信を制御するための通信方式,テレビ会議やテレビ電話で双方向のビデオ配信を制御するための通信方式,テレビの電子番組案内で使用される番組内容のメタデータを記述する方式,ワンセグやインターネットで用いられる動画データの圧縮符号化方式,3,2
リアルタイムストリーミングプロトコル（RTSP）に関する記述はどれか,インターネットで動画や音声データのストリーミング配信を制御するための通信方式,テレビ会議やテレビ電話で双方向のビデオ配信を制御するための通信方式,テレビの電子番組案内で使用される番組内容のメタデータを記述する方式,ワンセグやインターネットで用いられる動画データの圧縮符号化方式,0,2
H.323に関する記述はどれか,インターネットで動画や音声データのストリーミング配信を制御するための通信方式,テレビ会議やテレビ電話で双方向のビデオ配信を制御するための通信方式,テレビの電子番組案内で使用される番組内容のメタデータを記述する方式,ワンセグやインターネットで用いられる動画データの圧縮符号化方式,1,2
MPEG-7に関する記述はどれか,インターネットで動画や音声データのストリーミング配信を制御するための通信方式,テレビ会議やテレビ電話で双方向のビデオ配信を制御するための通信方式,テレビの電子番組案内で使用される番組内容のメタデータを記述する方式,ワンセグやインターネットで用いられる動画データの圧縮符号化方式,2,2
ARの説明として最も適切なものはどれか,過去に録画された映像を視聴することによって、その時代のその場所にいたかのような感覚が得られる,実際に目の前にある現実の映像の一部にコンピュータを使って仮想の情報を付加することによって、拡張された現実の環境が体感できる,人によって自然な３次元の仮想空間を構成し、自分の動作に合わせて仮想空間も変化することによって、その場所にいるかのような感覚が得られる,ヘッドマウントディスプレイなどの機器を利用し人の五感に働きかけることによって、実際には存在しない場所や世界を、あたかも現実のように体感できる,1,2
DBMSが提供する機能のうち、データ機密保護を実現する手段はどれか,一連の処理を論理的単位としてまとめたトランザクションを管理する,データに対するユーザのアクセス権限を管理する,データを更新するときに参照制約をチェックする,データを更新する前に専有ロックをかける,1,2
データベースファイルの更新前や更新後の値を書き出して、データベースの更新記録として保存するファイルはどれか,ダンプファイル,チェックポイントファイル,バックアップファイル,ログファイル,3,2
指定した命令が実行されるたびに、正しく処理が行われていることを確認するため、レジスタや主記憶の一部の内容を出力したファイルはどれか,ダンプファイル,チェックポイントファイル,バックアップファイル,ログファイル,0,2
障害発生時点やバックアップファイル取得などのタイミングで記録されるファイルです,ダンプファイル,チェックポイントファイル,バックアップファイル,ログファイル,1,2
障害発生時での復元などを主な目的としたデータの複製ファイルはどれか,ダンプファイル,チェックポイントファイル,バックアップファイル,ログファイル,2,2
１０Mバイトのデータを100000ビット/秒の回線を使って転送するとき、転送時間は何秒か。ここで、回線の伝送効率を５０%とし、１Mバイト=１０^６バイトとする,200,400,800,1600,3,2
LANに接続されているプリンタのMACアドレスを、同一LAN上のPCから調べるときに使用するコマンドはどれか。ここで、PCはこのプリンタを直前に使用しており、プリンタのIPアドレスは分かっているものとする,arp,ipconfig,netstat,ping,0,2
電子メールのヘッダフィールドのうち、SMTPでメッセージが転送される過程で削除されるものはどれか,Bcc,Date,Received,X-Mailer,0,2
Webサーバにおいて、クライアントからの要求に応じてアプリケーションプログラムを実行して、その結果をWebブラウザに返すなどのインタラクティブなページを実現するために、Webサーバと外部プログラムを連携させる仕組みはどれか,CGI,HTML,MIME,URL,0,2
ドライバ倍ダウンロード攻撃に該当するものはどれか,PC内のマルウェアを遠隔操作して、PCのハードディスクドライバを丸ごと暗号化する,外部ネットワークからファイアウォールの設定の誤りをついて侵入し、内部ネットワークにあるサーバのシステムドライブにルートキットを仕掛ける,公開Webサイトにおいて、スクリプトをWebページ中の入力フィールドに入力し、Webサーバがアクセスするデータベース内のデータを不正にダウンロードする,利用者が公開Webサイトを閲覧したときに、その利用者の意図にかかわらず、PCにマルウェアをダウンロードさせて感染させる,3,2
攻撃者がシステムに侵入するときにポートスキャンを行う目的はどれか,後処理の段階において、システムログに攻撃の痕跡が残っていないかどうかを調査する,権限取得の段階において、権限を奪取できそうなアカウントがあるかどうかを調査する,事前調査の段階において、攻撃できそうなサービスがあるかどうかを調査する,不正実行の段階において、攻撃者にとって有益な利用者情報があるかどうかを調査する,2,2
AさんがBさんの公開鍵で暗号化した電子メールを、BさんとCさんに送信した結果のうち、適切なものはどれか。ここで、Aさん、Bさん、Cさんのそれぞれの公開鍵は３人全員がもち、それぞれの秘密鍵は本人だけがもっているものとする,暗号化された電子メールを、Bさんだけが、Aさんの公開鍵で復号できる,暗号化された電子メールを、Bさんだけが、自身の秘密鍵で復号できる,暗号化された電子メールを、Bさんも、Cさんも、Bさんの公開鍵で復号できる,暗号化された電子メールを、Bさんも、Cさんも、自身の秘密鍵で復号できる,1,2
JIS Q 27000:2014(情報セキュリティマネジメントシステム-用語)において、”エンティティは、それが主張するとおりのものであるという特性”と定義されているものはどれか,真正性,信頼性,責任追跡性,否認防止,0,2
JIS Q 27000:2014(情報セキュリティマネジメントシステム-用語)において、”意図する行動と結果とが一貫しているという特性”と定義されているものはどれか,真正性,信頼性,責任追跡性,否認防止,1,2
JIS Q 27000:2014(情報セキュリティマネジメントシステム-用語)において”主張された事象又は処理の発生、及びそれを引き起こしたエンティティを証明する能力”と定義されているものはどれか,真正性,信頼性,責任追跡性,否認防止,3,2
SPF（Sender Policy Framework）の仕組みはどれか,電子メールを受信するサーバが、電子メールに付与されているディジタル署名を使って、送信元ドメインの詐称が無いことを確認する,電子メールを受信するサーバが、電子メールの送信元のドメイン情報と、電子メールを受信したサーバのIPアドレスから、ドメインの詐称が無いことを確認する,電子メールを送信するサーバが、送信する電子メールの送信者の上司からの承認が得られるまで、一時的に電子メールの送信を保留する,電子メールを送信するサーバが、電子メールの宛先のドメインや送信者のメールアドレスを問わず、全ての電子メールをアーカイブする,0,2
SQLインジェクション攻撃による被害を防ぐ方法はどれか,入力された文字が、データベースへの問い合わせや操作において、特別な意味をもつ文字として解釈されないようにする,入力にHTMLタグが含まれていたら、HTMLタグとして解釈されない他の文字列に置き換える,入力に上位ディレクトリを指定する文字列(../）が含まれているときは受け付けない,入力の全体の長さが制限を超えているときは受け付けない,0,2
セキュリティバイデザインの説明はどれか,開発済みのシステムに対して、第三者の情報セキュリティ専門家が、脆弱性診断を行い、システムの品質及びセキュリティを高めることである,開発済みのシステムに対して、リスクアセスメントを行い、リスクアセスメント結果に基づいてシステムを改修することである,システムの運用において、第三者による監査結果を基にシステムを改修することである,システムの企画・設計段階からセキュリティを確保する方策のことである,3,2
生体認証システムを導入するときに考慮すべき点として、最も適切なものはどれか,本人のディジタル証明書を、信頼できる第三者機関に発行してもらう,本人を誤って拒否する確率と他人を誤って許可する確率の双方を勘案して装置を調整する,マルウェア定義ファイルの更新が頻繁な製品を利用することによって、本人を誤って拒否する確率の低下を防ぐ,容易に推測できないような知識量と本人が覚えられる知識量とのバランスが、認証に必要な知識量の設定として重要となる,1,2
オブジェクト指向において、あるクラスの属性や機能がサブクラスで利用できることを何というか,オーバライド,カプセル化,継承,多相性,2,2
オブジェクト指向において、スーパークラスで定義されたメソッドをサブクラスで再定義することを何というか,オーバライド,カプセル化,継承,多相性,0,2
開発プロセスにおいて、ソフトウェア方式設計で行うべき作業はどれか,顧客に意見を求めて仕様を決定する,ソフトウェア品目に対する要件を、最上位レベルの構造を表現する方式であって、かつ、ソフトウェアコンポーネントを識別する方式に変換する,プログラムを、コード化した１行の処理まで明確になるように詳細化する,要求内容を図表などの形式でまとめ、段階的に詳細化して分析する。,1,2
ブラックボックステストにテストデータの作成方法のうち、最も適切なものはどれか,稼働中のシステムから実データを無造作に抽出し、テストデータを作成する,機能仕様から同値クラスや限界値を識別し、テストデータを作成する,業務で発生するデータの発生頻度を分析し、テストデータを作成する,プログラムで流れ図を基に、分岐条件に基づいたテストデータを作成する,1,2
エクストリームプログラミングのプラクティスのうち、プログラム開発において、相互に役割を交替し、チェックし合うことによって、コミュニケーションを円滑にし、プログラムの品質向上を図るものはどれか,計画ゲーム化,コーディング標準,テスト駆動開発,ペアプログラミング,3,2
システム開発において、工数（人月）と期間（月）の関係が次の近似式で示されるとき、工数が4096人月のときの期間は何か月か。【期間＝2.5×工数^1/3】,16,40,64,160,1,2
ITサービスマネジメントにおける問題管理で実施する活動のうち、事前予防的な活動はどれか,インシデントの発生傾向を分析して、将来のインシデントを予防する方策を提案する,検出して記録した問題を分類して、対応の優先度を設定する,重大な問題に対する解決策の有効性を評価する,問題解決後の一定期間、インシデントの再発の有無を監視する,0,2
サービスデスク組織の構造とその特徴のうち、ローカルサービスデスクのものはどれか,サービスデスクを一拠点又は少数の場所に集中することによって、サービス要員を効率的に配置したり、大量のコールに対応したりすることができる,サービスデスクを利用者の近くに配置することによって、言語や文化が異なる利用者への対応、専門要員によるVIP対応などができる,サービス要員が複数の地域や部門に分散していても、通信技術の利用によって単一のサービスデスクであるかのようにサービスが提供できる,分散拠点のサービス要員を含めた全員を中央で統括して管理することによって、統制のとれたサービスが提供できる,1,2
社内システムの利用方法などについての問合せに対し、単一の窓口であるサービスデスクを設置する部門として、最も適切なものはどれか。,インシデント管理の担当,構成管理の担当,変更管理の担当,リリース管理の担当,0,1
SNSの事例におけるITサービスマネジメントの要件に関する記述のうち、機密性に該当するものはどれか。,24時間365日利用可能である。,許可されていないユーザはデータやサービスにアクセスできない。,サーバ設置場所に地震などの災害が起こっても、1時間以内に利用が再開できる。,投稿した写真の加工や他のユーザのフォローができる。,1,1
企業などの競争力を高めるために、情報システム戦略の策定及び実行を統制するものとして、最も適切なものはどれか。,ITガバナンス,コンプライアンス,システム監査,プロジェクトマネジメント,0,1
システムのテスト中に発見したバグを、原因別に集計して発生頻度の高い順に並べ、累積曲線を入れた図表はどれか。,散布図,特性要因図,パレート図,ヒストグラム,2,1
プロジェクト管理におけるプロジェクトスコープの説明として、適切なものはどれか。,プロジェクトチームの役割や責任,プロジェクトで実施すべき作業,プロジェクトで実施する各作業の開始予定日と終了予定日,プロジェクトを実施するために必要な費用,1,1
受託しているシステム開発プロジェクトの期間が半分を経過した時点で、委託元から開発中のシステムへの機能追加の依頼があった。プロジェクトマネージャの行動として、最も適切なものはどれか。,依頼を受け入れ、予算や要員を確保する。,期間の半分を経過した時点での変更は一般的に受け入れられないことを理由に、依頼を断る。,コストやスケジュールなどへの影響を勘案し、変更管理の手順に従う。,プロジェクトスコープだけに影響するので、速やかにスコープのベースラインを更新する。,2,1
ユーザからの問合せに効率よく迅速に対応していくために、ユーザがWeb上の入力エリアに問合せを入力すると、システムが会話形式で自動的に問合せに応じる仕組みとして、最も適切なものはどれか。,レコメンデーション,チャットボット,エスカレーション,FAQ,1,1
アジャイル開発の特徴として、適切なものはどれか。,大規模なプロジェクトチームによる開発に適している。,設計ドキュメントを重視し、詳細なドキュメントを作成する。,顧客との関係では、協調よりも契約交渉を重視している。,ウォータフォール開発と比較して、要求の変更に柔軟に対応できる。,3,1
安価な労働力を大量に得られることを狙いに、システム開発を海外の事業者や海外の子会社に委託する開発形態として、最も適切なものはどれか。,ウォータフォール開発,オフショア開発,プロトタイプ開発,ラピッドアプリケーション開発,1,1
情報システムの施設や設備を維持・保全するファシリティマネジメントの施策として、適切なものはどれか。,インターネットサイトへのアクセス制限,コンピュータウイルスのチェック,スクリーンセーバの設定時間の標準化,電力消費量のモニタリング,3,1
ある事業者において、情報資産のライフサイクルに従って実施される情報セキュリティ監査を行うことになった。この対象として、最も適切なものはどれか。,情報資産を管理している情報システム,情報システム以外で保有している情報資産,情報システムが保有している情報資産,保有している全ての情報資産,3,1
システムの利用者と開発者の間で、システムの設計書の記載内容が利用者の要求を満たしていることを確認するために実施するものはどれか。,共同レビュー,結合テスト,シミュレーション,進捗会議,0,1
ソフトウェア保守に関する説明として、適切なものはどれか。,稼働後にプログラム仕様書を分かりやすくするための改善は、ソフトウェア保守である。,稼働後に見つかった画面や帳票の軽微な不良対策は、ソフトウェア保守ではない。,システムテストで検出されたバグの修正は、ソフトウェア保守である。,システムを全く新規のものに更改することは、ソフトウェア保守である。,0,1
システム監査の業務は、監査計画の立案、監査証拠の入手と評価、監査手続の実施、監査報告書の作成、フォローアップのプロセスに分けられる。これらのうち、適切な対策の実施を指導するプロセスはどれか。,監査証拠の入手と評価,監査手続の実施,監査報告書の作成,フォローアップ,3,1
要件定義から導入までを行うシステム開発プロジェクトにおける、マスタスケジュールの説明として、適切なものはどれか。,一週間分の作業を詳細に記述したスケジュール,一日分の作業とその開始時間、終了時間、担当者を記述したスケジュール,主たる工程の作業を詳細に記述したスケジュール,プロジェクト全体の主要な成果物や作業を集約したスケジュール,3,1
DNSの機能に関する記述のうち、適切なものはどれか。,IPアドレスとMACアドレスを対応付ける。,IPアドレスとドメイン名を対応付ける。,IPアドレスを利用してパケット転送の経路を選択する。,アナログ信号とディジタル信号を相互に変換する。,1,1
PDCAモデルに基づいてISMSを運用している組織において、A(Act)で実施することの例として、適切なものはどれか。,業務内容の監査結果に基づいた是正処置として、サーバの監視方法を変更する。,サーバ管理者の業務内容を第三者が客観的に評価する。,サーバ室内の情報資産を洗い出す。,サーバの動作を定められた運用手順に従って監視する。,0,1
二つの拠点を専用回線で接続したWANでパケットを送受信する場合、可用性を高める例として、適切なものはどれか。,異なる通信事業者が提供する別回線を加え、2回線でパケットを送受信する。,受信側でパケットの誤りを検知し訂正する。,送信側でウイルス検査を行い、ウイルスが含まれないパケットを送る。,送信側でパケットを暗号化して送る。,0,1
個人情報において、”個人情報”の対象となるものはどれか,企業の名称、電話番号、住所など、特定の企業が識別できる情報,記名方式で取得したアンケートから、解答だけを集計し得作成した報告書,氏名、生年月日、住所が記入された顧客台帳,年代別顧客の人数分布と売上金額が表示された表,2,1
"企業での内部不正などの不正が発生するときには、""不正のトライアングル""と呼ばれる3要素の全てがそろって存在すると考えられている。""不正のトライアングル""を構成する3要素として、最も適切なものはどれか。",機会、情報、正当化,機会、情報、動機,機会、正当化、動機,情報、正当化、動機,2,1
"値の小さな数や大きな数を分かりやすく表現するために、接頭語が用いられる。例えば、10-3と103を表すのに、それぞれ""m""と""k"" が用いられる。10-9と109を表すのに用いられる接頭語はどれか。",nとG,nとM,pとG,pとM,0,1
OSS(Open Source Software)であるDBMSはどれか。,Android,Firefox,MySQL,Thunderbird,2,1
PCでWebサイトを閲覧しただけで、PCにウイルスなどを感染させる攻撃はどれか。,DoS攻撃,ソーシャルエンジニアリング,ドライブバイダウンロード,バックドア,2,1
次の記憶装置のうち、アクセス時間が最も短いものはどれか。,HDD,SSD,キャッシュメモリ,主記憶,2,1
LTEよりも通信速度が高速なだけではなく、より多くの端末が接続でき、通信の遅延も少ないという特徴をもつ移動通信システムはどれか。,ブロックチェーン,MVNO,8K,5G,3,1
無線LANの暗号化方式であり、WEPでは短い時間で暗号が解読されてしまう問題が報告されたことから、より暗号強度を高めるために利用が推奨されているものはどれか。,ESSID,HTTPS,S/MIME,WPA2,3,1
AさんはBさんだけに伝えたい内容を書いた電子メールを、公開鍵暗号方式を用いてBさんの鍵で暗号化してBさんに送った。この電子メールを復号するために必要な鍵はどれか。,Aさんの公開鍵,Aさんの秘密鍵,Bさんの公開鍵,Bさんの秘密鍵,3,1
バイオメトリクス認証に関する記述として、適切なものはどれか。,指紋や静脈を使用した認証は、のぞき見行為によって容易に認証情報が漏えいする。,指紋や静脈を使用した認証は、のぞき見行為によって容易に認証情報が漏えいする。,他人を本人と誤って認証してしまうリスクがない。,筆跡やキーストロークなどの本人の行動的特徴を利用したものも含まれる。,3,1
3Dプリンタの特徴として、適切なものはどれか。,3D効果がある画像を、平面に印刷する。,3次元データを用いて、立体物を造形する。,立体物の曲面などに、画像を印刷する。,レーザによって、空間に立体画像を表示する。,1,1
Webサイトを構築する際にスタイルシートを用いる理由として、適切なものはどれか。,WebサーバとWebブラウザ間で安全にデータをやり取りできるようになる。,Webサイトの更新情報を利用者に知らせることができるようになる。,Webサイトの利用者を識別できるようになる。,複数のWebページの見た目を統一することが容易にできるようになる。,3,1
オンラインストレージに関する記述のうち、適切でないものはどれか。,インターネットに接続していれば、PCからだけでなく、スマートフォンやタブレットからでも利用可能である。,制限された容量と機能の範囲内で、無料で利用できるサービスがある。,登録された複数の利用者が同じファイルを共有して、編集できるサービスがある。,利用者のPCやタブレットに内蔵された補助記憶装置の容量を増やせば、オンラインストレージの容量も自動的に増える。,3,1
ウイルスの感染に関する記述のうち、適切なものはどれか。,OSやアプリケーションだけではなく、機器に組み込まれたファームウェアも感染することがある。,PCをネットワークにつなげず、他のPCとのデータ授受に外部記憶媒体だけを利用すれば、感染することはない。,感染が判明したPCはネットワークにつなげたままにして、直ちにOSやセキュリティ対策ソフトのアップデート作業を実施する。,電子メールの添付ファイルを開かなければ、感染することはない。,0,1
スマートフォンを利用するときに、ソーシャルエンジニアリングに分類されるショルダーハックの防止策として、適切なものはどれか。,OSを常に最新の状態で利用する。,位置情報機能をオフにする。,スクリーンにのぞき見防止フィルムを貼る。,落下、盗難防止用にストラップを付ける。,2,1
入力画面で数値を入力すべきところに誤って英字を入力したらエラーメッセージが表示され、再入力を求められた。このような工夫をしておく設計思想を表す用語として、適切なものはどれか。,フールプルーフ,フェールソフト,フォールトトレランス,ロールバック,0,1
E-R図で表現するものはどれか。,HDD内のデータの物理的な配置,エンティティ同士の関係,処理の流れ,入力データ及び出力データ,1,1
関係データベースを構築する際にデータの正規化を行う目的として、適切なものはどれか。,データに冗長性をもたせて、データ誤りを検出する。,データの矛盾や重複を排除して、データの維持管理を容易にする。,データの文字コードを統一して、データの信頼性と格納効率を向上させる。,データを可逆圧縮して、アクセス効率を向上させる。,1,1
NFCに準拠した無線通信方式を利用したものはどれか。,ETC車載器との無線通信,エアコンのリモートコントロール,カーナビの位置計測,交通系のIC乗車券による改札,3,1
ランサムウェアの説明として、適切なものはどれか。,PC内のファイルを暗号化して使用不能にし、復号するためのキーと引換えに金品を要求するソフトウェア,キーボードの入力を不正に記録するソフトウェア,システムログを改ざんすることによって、自らを発見されにくくするソフトウェア,自ら感染を広げる機能をもち、ネットワークを経由して蔓延していくソフトウェア,0,1
関係データベースの操作を行うための言語はどれか。,FAQ,SQL,SSL,UML,1,1
外部からの不正アクセスによるコンピュータに関する犯罪の疑いが生じた。そのとき、関係する機器やデータ、ログなどの収集及び分析を行い、法的な証拠性を明らかにするための手段や技術の総称はどれか。,ディジタルサイネージ,ディジタル署名,ディジタルディバイド,ディジタルフォレンジックス,3,1
電子商取引において、注文した事実やその内容について否認されることを防止するために、取引の相手に実施を依頼することとして、最も適切なものはどれか。,相手が取引に使用するPCには、OSのログインパスワードを設定してもらう。,相手のイントラネット内のウイルス対策を行ってもらう。,注文データにディジタル署名を付与してもらう。,注文データを暗号化してから送ってもらう。,2,1
コンピュータなどの情報機器を使いこなせる人と使いこなせない人との間に生じる、入手できる情報の質、量や収入などの格差を表す用語はどれか。,ソーシャルネットワーキングサービス,ディジタルサイネージ,ディジタルディバイド,ディジタルネイティブ,2,1
システムのライフサイクルを、企画プロセス、要件定義プロセス、開発プロセス、運用プロセス、保守プロセスとしたとき、経営層及び各部門からの要求事項に基づいたシステムを実現するためのシステム化計画を立案するプロセスとして、適切なものはどれか。,開発プロセス,企画プロセス,保守プロセス,要件定義プロセス,1,1
企業の情報システム戦略で明示するものとして、適切なものはどれか。,ITガバナンスの方針,基幹システムの開発体制,ベンダ提案の評価基準,利用者の要求の分析結果,0,1
性別、年齢、国籍、経験などが個人ごとに異なるような多様性を示す言葉として、適切なものはどれか。,グラスシーリング,ダイバーシティ,ホワイトカラーエグゼンプション,ワークライフバランス,1,1
